size_label,target_bytes,rank,connections,queue_mode,segment_size,buffer_size,http_mode,repeats,successful_repeats,avg_mbps,median_mbps,min_mbps,max_mbps,stddev_mbps,success_rate
10MB,10485760,1,8,true,1048576,1048576,auto,3,3,3.387138,3.471644,3.094777,3.594993,0.212775,1.000000
10MB,10485760,2,4,true,1048576,1048576,auto,3,3,2.841774,2.741098,2.634719,3.149505,0.221890,1.000000
10MB,10485760,3,1,true,1048576,1048576,auto,3,3,2.468386,2.279194,2.225424,2.900541,0.306367,1.000000
10MB,10485760,4,1,true,4194304,1048576,auto,3,3,2.294215,2.177258,2.126788,2.578598,0.202142,1.000000
